Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,7.192200,7.192200,7.192200,7.192200,7.192200,0
2019-01-10,7.220400,7.220400,7.220400,7.220400,7.220400,0
2019-01-11,7.226000,7.226000,7.226000,7.226000,7.226000,0
2019-01-14,7.209100,7.209100,7.209100,7.209100,7.209100,0
2019-01-15,7.248000,7.248000,7.248000,7.248000,7.248000,0
2019-01-16,7.262300,7.262300,7.262300,7.262300,7.262300,0
2019-01-17,7.302800,7.302800,7.302800,7.302800,7.302800,0
2019-01-18,7.366500,7.366500,7.366500,7.366500,7.366500,0
2019-01-21,7.379700,7.379700,7.379700,7.379700,7.379700,0
2019-01-22,7.330800,7.330800,7.330800,7.330800,7.330800,0
2019-01-23,7.335300,7.335300,7.335300,7.335300,7.335300,0
2019-01-24,7.361700,7.361700,7.361700,7.361700,7.361700,0
2019-01-25,7.369700,7.369700,7.369700,7.369700,7.369700,0
2019-01-28,7.340900,7.340900,7.340900,7.340900,7.340900,0
2019-01-29,7.362400,7.362400,7.362400,7.362400,7.362400,0
2019-01-30,7.374200,7.374200,7.374200,7.374200,7.374200,0
2019-01-31,7.397000,7.397000,7.397000,7.397000,7.397000,0
2019-02-01,7.379000,7.379000,7.379000,7.379000,7.379000,0
2019-02-04,7.411600,7.411600,7.411600,7.411600,7.411600,0
2019-02-05,7.457900,7.457900,7.457900,7.457900,7.457900,0
2019-02-06,7.471500,7.471500,7.471500,7.471500,7.471500,0
2019-02-07,7.461300,7.461300,7.461300,7.461300,7.461300,0
2019-02-08,7.435200,7.435200,7.435200,7.435200,7.435200,0
2019-02-11,7.441700,7.441700,7.441700,7.441700,7.441700,0
2019-02-12,7.487500,7.487500,7.487500,7.487500,7.487500,0
2019-02-13,7.499900,7.499900,7.499900,7.499900,7.499900,0
2019-02-14,7.517800,7.517800,7.517800,7.517800,7.517800,0
2019-02-15,7.556400,7.556400,7.556400,7.556400,7.556400,0
2019-02-19,7.567800,7.567800,7.567800,7.567800,7.567800,0
2019-02-20,7.580900,7.580900,7.580900,7.580900,7.580900,0
2019-02-21,7.573800,7.573800,7.573800,7.573800,7.573800,0
2019-02-22,7.585300,7.585300,7.585300,7.585300,7.585300,0
2019-02-25,7.620200,7.620200,7.620200,7.620200,7.620200,0
2019-02-26,7.613700,7.613700,7.613700,7.613700,7.613700,0
2019-02-27,7.606000,7.606000,7.606000,7.606000,7.606000,0
2019-02-28,7.586800,7.586800,7.586800,7.586800,7.586800,0
2019-03-01,7.657700,7.657700,7.657700,7.657700,7.657700,0
2019-03-04,7.648300,7.648300,7.648300,7.648300,7.648300,0
2019-03-05,7.657700,7.657700,7.657700,7.657700,7.657700,0
2019-03-06,7.663700,7.663700,7.663700,7.663700,7.663700,0
2019-03-07,7.626800,7.626800,7.626800,7.626800,7.626800,0
2019-03-08,7.580000,7.580000,7.580000,7.580000,7.580000,0
2019-03-11,7.643100,7.643100,7.643100,7.643100,7.643100,0
2019-03-12,7.648800,7.648800,7.648800,7.648800,7.648800,0
2019-03-13,7.654000,7.654000,7.654000,7.654000,7.654000,0
2019-03-14,7.653600,7.653600,7.653600,7.653600,7.653600,0
2019-03-15,7.690500,7.690500,7.690500,7.690500,7.690500,0
2019-03-18,7.724400,7.724400,7.724400,7.724400,7.724400,0
2019-03-19,7.715200,7.715200,7.715200,7.715200,7.715200,0
2019-03-20,7.695200,7.695200,7.695200,7.695200,7.695200,0
2019-03-21,7.746300,7.746300,7.746300,7.746300,7.746300,0
2019-03-22,7.679900,7.679900,7.679900,7.679900,7.679900,0
2019-03-25,7.656400,7.656400,7.656400,7.656400,7.656400,0
2019-03-26,7.688300,7.688300,7.688300,7.688300,7.688300,0
2019-03-27,7.677700,7.677700,7.677700,7.677700,7.677700,0
2019-03-28,7.704100,7.704100,7.704100,7.704100,7.704100,0
2019-03-29,7.700000,7.700000,7.700000,7.700000,7.700000,0
2019-04-01,7.750300,7.750300,7.750300,7.750300,7.750300,0
2019-04-02,7.763500,7.763500,7.763500,7.763500,7.763500,0
2019-04-03,7.785800,7.785800,7.785800,7.785800,7.785800,0
2019-04-04,7.793900,7.793900,7.793900,7.793900,7.793900,0
2019-04-05,7.833400,7.833400,7.833400,7.833400,7.833400,0
2019-04-08,7.814700,7.814700,7.814700,7.814700,7.814700,0
2019-04-09,7.794900,7.794900,7.794900,7.794900,7.794900,0
2019-04-10,7.815400,7.815400,7.815400,7.815400,7.815400,0
2019-04-11,7.823400,7.823400,7.823400,7.823400,7.823400,0
2019-04-12,7.842400,7.842400,7.842400,7.842400,7.842400,0
2019-04-15,7.862700,7.862700,7.862700,7.862700,7.862700,0
2019-04-16,7.866800,7.866800,7.866800,7.866800,7.866800,0
2019-04-17,7.860200,7.860200,7.860200,7.860200,7.860200,0
2019-04-18,7.885100,7.885100,7.885100,7.885100,7.885100,0
2019-04-22,7.863200,7.863200,7.863200,7.863200,7.863200,0
2019-04-23,7.923400,7.923400,7.923400,7.923400,7.923400,0
2019-04-24,7.922000,7.922000,7.922000,7.922000,7.922000,0
2019-04-25,7.909100,7.909100,7.909100,7.909100,7.909100,0
2019-04-26,7.918400,7.918400,7.918400,7.918400,7.918400,0
2019-04-29,7.922000,7.922000,7.922000,7.922000,7.922000,0
2019-04-30,7.913600,7.913600,7.913600,7.913600,7.913600,0
2019-05-01,7.891100,7.891100,7.891100,7.891100,7.891100,0
2019-05-02,7.877500,7.877500,7.877500,7.877500,7.877500,0
2019-05-03,7.901500,7.901500,7.901500,7.901500,7.901500,0
2019-05-06,7.866500,7.866500,7.866500,7.866500,7.866500,0
2019-05-07,7.804000,7.804000,7.804000,7.804000,7.804000,0
2019-05-08,7.811000,7.811000,7.811000,7.811000,7.811000,0
2019-05-09,7.771400,7.771400,7.771400,7.771400,7.771400,0
2019-05-10,7.750800,7.750800,7.750800,7.750800,7.750800,0
2019-05-13,7.675300,7.675300,7.675300,7.675300,7.675300,0
2019-05-14,7.717900,7.717900,7.717900,7.717900,7.717900,0
2019-05-15,7.737400,7.737400,7.737400,7.737400,7.737400,0
2019-05-16,7.786900,7.786900,7.786900,7.786900,7.786900,0
2019-05-17,7.751800,7.751800,7.751800,7.751800,7.751800,0
2019-05-21,7.744300,7.744300,7.744300,7.744300,7.744300,0
2019-05-22,7.730600,7.730600,7.730600,7.730600,7.730600,0
2019-05-23,7.678000,7.678000,7.678000,7.678000,7.678000,0
2019-05-24,7.688600,7.688600,7.688600,7.688600,7.688600,0
2019-05-27,7.702100,7.702100,7.702100,7.702100,7.702100,0
2019-05-28,7.697700,7.697700,7.697700,7.697700,7.697700,0
2019-05-29,7.670400,7.670400,7.670400,7.670400,7.670400,0
2019-05-30,7.663400,7.663400,7.663400,7.663400,7.663400,0
2019-05-31,7.637400,7.637400,7.637400,7.637400,7.637400,0
2019-06-03,7.614800,7.614800,7.614800,7.614800,7.614800,0
2019-06-04,7.659400,7.659400,7.659400,7.659400,7.659400,0
2019-06-05,7.705400,7.705400,7.705400,7.705400,7.705400,0
2019-06-06,7.718000,7.718000,7.718000,7.718000,7.718000,0
2019-06-07,7.734200,7.734200,7.734200,7.734200,7.734200,0
2019-06-10,7.748000,7.748000,7.748000,7.748000,7.748000,0
2019-06-11,7.756300,7.756300,7.756300,7.756300,7.756300,0
2019-06-12,7.755900,7.755900,7.755900,7.755900,7.755900,0
2019-06-13,7.771600,7.771600,7.771600,7.771600,7.771600,0
2019-06-14,7.781500,7.781500,7.781500,7.781500,7.781500,0
2019-06-17,7.786900,7.786900,7.786900,7.786900,7.786900,0
2019-06-18,7.851600,7.851600,7.851600,7.851600,7.851600,0
2019-06-19,7.844300,7.844300,7.844300,7.844300,7.844300,0
2019-06-20,7.862600,7.862600,7.862600,7.862600,7.862600,0
2019-06-21,7.849900,7.849900,7.849900,7.849900,7.849900,0
2019-06-24,7.839000,7.839000,7.839000,7.839000,7.839000,0
2019-06-25,7.794000,7.794000,7.794000,7.794000,7.794000,0
2019-06-26,7.762100,7.762100,7.762100,7.762100,7.762100,0
2019-06-27,7.771800,7.771800,7.771800,7.771800,7.771800,0
2019-06-28,7.795200,7.795200,7.795200,7.795200,7.795200,0
2019-07-02,7.846800,7.846800,7.846800,7.846800,7.846800,0
2019-07-03,7.874400,7.874400,7.874400,7.874400,7.874400,0
2019-07-04,7.871700,7.871700,7.871700,7.871700,7.871700,0
2019-07-05,7.847600,7.847600,7.847600,7.847600,7.847600,0
2019-07-08,7.824600,7.824600,7.824600,7.824600,7.824600,0
2019-07-09,7.839900,7.839900,7.839900,7.839900,7.839900,0
2019-07-10,7.843600,7.843600,7.843600,7.843600,7.843600,0
2019-07-11,7.843100,7.843100,7.843100,7.843100,7.843100,0
2019-07-12,7.842500,7.842500,7.842500,7.842500,7.842500,0
2019-07-15,7.854200,7.854200,7.854200,7.854200,7.854200,0
2019-07-16,7.848100,7.848100,7.848100,7.848100,7.848100,0
2019-07-17,7.826500,7.826500,7.826500,7.826500,7.826500,0
2019-07-18,7.827000,7.827000,7.827000,7.827000,7.827000,0
2019-07-19,7.822300,7.822300,7.822300,7.822300,7.822300,0
2019-07-22,7.846200,7.846200,7.846200,7.846200,7.846200,0
2019-07-23,7.874700,7.874700,7.874700,7.874700,7.874700,0
2019-07-24,7.903700,7.903700,7.903700,7.903700,7.903700,0
2019-07-25,7.877600,7.877600,7.877600,7.877600,7.877600,0
2019-07-26,7.893300,7.893300,7.893300,7.893300,7.893300,0
2019-07-29,7.882200,7.882200,7.882200,7.882200,7.882200,0
2019-07-30,7.856600,7.856600,7.856600,7.856600,7.856600,0
2019-07-31,7.829000,7.829000,7.829000,7.829000,7.829000,0
2019-08-01,7.795700,7.795700,7.795700,7.795700,7.795700,0
2019-08-02,7.739300,7.739300,7.739300,7.739300,7.739300,0
2019-08-06,7.670700,7.670700,7.670700,7.670700,7.670700,0
2019-08-07,7.704800,7.704800,7.704800,7.704800,7.704800,0
2019-08-08,7.766900,7.766900,7.766900,7.766900,7.766900,0
2019-08-09,7.732400,7.732400,7.732400,7.732400,7.732400,0
2019-08-12,7.698200,7.698200,7.698200,7.698200,7.698200,0
2019-08-13,7.744700,7.744700,7.744700,7.744700,7.744700,0
2019-08-14,7.640800,7.640800,7.640800,7.640800,7.640800,0
2019-08-15,7.653500,7.653500,7.653500,7.653500,7.653500,0
2019-08-16,7.703600,7.703600,7.703600,7.703600,7.703600,0
2019-08-19,7.774500,7.774500,7.774500,7.774500,7.774500,0
2019-08-20,7.747200,7.747200,7.747200,7.747200,7.747200,0
2019-08-21,7.768500,7.768500,7.768500,7.768500,7.768500,0
2019-08-22,7.751000,7.751000,7.751000,7.751000,7.751000,0
2019-08-23,7.658700,7.658700,7.658700,7.658700,7.658700,0
2019-08-26,7.667500,7.667500,7.667500,7.667500,7.667500,0
2019-08-27,7.692300,7.692300,7.692300,7.692300,7.692300,0
2019-08-28,7.716700,7.716700,7.716700,7.716700,7.716700,0
2019-08-29,7.767100,7.767100,7.767100,7.767100,7.767100,0
2019-08-30,7.790200,7.790200,7.790200,7.790200,7.790200,0
2019-09-03,7.765200,7.765200,7.765200,7.765200,7.765200,0
2019-09-04,7.790500,7.790500,7.790500,7.790500,7.790500,0
2019-09-05,7.846700,7.846700,7.846700,7.846700,7.846700,0
2019-09-06,7.837000,7.837000,7.837000,7.837000,7.837000,0
2019-09-09,7.812400,7.812400,7.812400,7.812400,7.812400,0
2019-09-10,7.796600,7.796600,7.796600,7.796600,7.796600,0
2019-09-11,7.843600,7.843600,7.843600,7.843600,7.843600,0
2019-09-12,7.872100,7.872100,7.872100,7.872100,7.872100,0
2019-09-13,7.899100,7.899100,7.899100,7.899100,7.899100,0
2019-09-16,7.879200,7.879200,7.879200,7.879200,7.879200,0
2019-09-17,7.905600,7.905600,7.905600,7.905600,7.905600,0
2019-09-18,7.911500,7.911500,7.911500,7.911500,7.911500,0
2019-09-19,7.920200,7.920200,7.920200,7.920200,7.920200,0
2019-09-20,7.916800,7.916800,7.916800,7.916800,7.916800,0
2019-09-23,7.905900,7.905900,7.905900,7.905900,7.905900,0
2019-09-24,7.869100,7.869100,7.869100,7.869100,7.869100,0
2019-09-25,7.874100,7.874100,7.874100,7.874100,7.874100,0
2019-09-26,7.878700,7.878700,7.878700,7.878700,7.878700,0
2019-09-27,7.841400,7.841400,7.841400,7.841400,7.841400,0
2019-09-30,7.852000,7.852000,7.852000,7.852000,7.852000,0
2019-10-01,7.790500,7.790500,7.790500,7.790500,7.790500,0
2019-10-02,7.721700,7.721700,7.721700,7.721700,7.721700,0
2019-10-03,7.760600,7.760600,7.760600,7.760600,7.760600,0
2019-10-04,7.810300,7.810300,7.810300,7.810300,7.810300,0
2019-10-07,7.788500,7.788500,7.788500,7.788500,7.788500,0
2019-10-08,7.732300,7.732300,7.732300,7.732300,7.732300,0
2019-10-09,7.768700,7.768700,7.768700,7.768700,7.768700,0
2019-10-10,7.777100,7.777100,7.777100,7.777100,7.777100,0
2019-10-11,7.806200,7.806200,7.806200,7.806200,7.806200,0
2019-10-15,7.821500,7.821500,7.821500,7.821500,7.821500,0
2019-10-16,7.819500,7.819500,7.819500,7.819500,7.819500,0
2019-10-17,7.808300,7.808300,7.808300,7.808300,7.808300,0
2019-10-18,7.787000,7.787000,7.787000,7.787000,7.787000,0
2019-10-21,7.797300,7.797300,7.797300,7.797300,7.797300,0
2019-10-22,7.790100,7.790100,7.790100,7.790100,7.790100,0
2019-10-23,7.780300,7.780300,7.780300,7.780300,7.780300,0
2019-10-24,7.792200,7.792200,7.792200,7.792200,7.792200,0
2019-10-25,7.802100,7.802100,7.802100,7.802100,7.802100,0
2019-10-28,7.817500,7.817500,7.817500,7.817500,7.817500,0
2019-10-29,7.834900,7.834900,7.834900,7.834900,7.834900,0
2019-10-30,7.881800,7.881800,7.881800,7.881800,7.881800,0
2019-10-31,7.870400,7.870400,7.870400,7.870400,7.870400,0
2019-11-01,7.913600,7.913600,7.913600,7.913600,7.913600,0
2019-11-04,7.935700,7.935700,7.935700,7.935700,7.935700,0
2019-11-05,7.932300,7.932300,7.932300,7.932300,7.932300,0
2019-11-06,7.952100,7.952100,7.952100,7.952100,7.952100,0
2019-11-07,7.968400,7.968400,7.968400,7.968400,7.968400,0
2019-11-08,7.989000,7.989000,7.989000,7.989000,7.989000,0
2019-11-11,7.983200,7.983200,7.983200,7.983200,7.983200,0
2019-11-12,7.994000,7.994000,7.994000,7.994000,7.994000,0
2019-11-13,8.005700,8.005700,8.005700,8.005700,8.005700,0
2019-11-14,8.017200,8.017200,8.017200,8.017200,8.017200,0
2019-11-15,8.047600,8.047600,8.047600,8.047600,8.047600,0
